# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          	Cm	Cd	Cl	Cl(f)	Cl(r)
1.20000000e-03	-1.64727244e-10	2.54153961e+03	1.87182020e-04	9.35908451e-05	9.35911745e-05
2.64000000e-03	8.05120346e-11	5.93616723e+00	-2.87917608e-04	-1.43958724e-04	-1.43958885e-04
4.36800000e-03	3.35890136e-10	-2.61658784e+02	2.48554174e-05	1.24280446e-05	1.24273728e-05
6.44160000e-03	3.71660347e-10	-3.56829357e+01	1.20290184e-04	6.01454638e-05	6.01447205e-05
8.92992000e-03	3.02827177e-10	-2.22402186e+01	-4.56812693e-05	-2.28403318e-05	-2.28409375e-05
1.19159040e-02	2.17246775e-10	-1.84171164e+01	4.16937960e-05	2.08471152e-05	2.08466807e-05
1.54990848e-02	1.34473358e-10	-1.25836922e+01	-6.54537257e-06	-3.27255181e-06	-3.27282076e-06
1.97989018e-02	7.54219860e-11	-8.47858671e+00	1.31545086e-05	6.57732975e-06	6.57717890e-06
2.49586821e-02	6.09595588e-11	-6.06624248e+00	1.40258635e-05	7.01299270e-06	7.01287078e-06
3.11504185e-02	3.35649448e-10	-4.54113961e+00	8.97229500e-06	4.48648315e-06	4.48581185e-06
3.85805022e-02	1.10327279e-09	-3.46724520e+00	1.02546230e-05	5.12841478e-06	5.12620823e-06
4.74966027e-02	2.17703750e-09	-2.66531749e+00	8.40901125e-06	4.20668266e-06	4.20232859e-06
5.81959232e-02	3.29826512e-09	-2.04865974e+00	8.88219724e-06	4.44439689e-06	4.43780036e-06
7.10351079e-02	4.09327915e-09	-1.56252923e+00	8.90353480e-06	4.45586068e-06	4.44767412e-06
8.64421294e-02	1.37950604e-07	-1.17076843e+00	8.37936406e-06	4.32763263e-06	4.05173143e-06
1.04930555e-01	8.84019101e-09	-8.50908096e-01	3.11111364e-06	1.56439701e-06	1.54671663e-06
1.27100767e-01	1.50270031e-08	-5.89214874e-01	9.20740053e-07	4.75397030e-07	4.45343024e-07
1.52968363e-01	2.83750896e-08	-3.78760526e-01	3.21180114e-06	1.63427566e-06	1.57752548e-06
1.82552407e-01	4.26548027e-08	-2.14737630e-01	1.31298063e-06	6.99145119e-07	6.13835514e-07
2.15875196e-01	5.60706488e-08	-8.88075301e-02	9.31859575e-07	5.22000436e-07	4.09859139e-07
2.52962544e-01	6.79869144e-08	6.73476041e-03	-3.18780154e-07	-9.14031626e-08	-2.27376992e-07
